   ,CITYID,CITYNAME,CITYCODE,AREA,REGION
1,819,TALL,TAL,PEW,NORTH
2,820,TANDO JAM,TDJ,HDD,SOUTH
3,821,TOPI,TOP,RWP,NORTH
4,822,PASNI,PSN,KHI,SOUTH
5,823,PISHIN,NPI,UET,SOUTH
6,824,PANJGOOR,PJG,KHI,SOUTH
7,825,MASTUNG,MTG,UET,SOUTH
8,826,KALAT,KLT,UET,SOUTH
9,827,KAMALIA,KLA,MUX,CENTRAL
10,828,HAROONABAD,HRN,MUX,CENTRAL
11,829,RANIPUR,RNI,SKZ,SOUTH
12,830,RATTO DERO,RTD,SKZ,SOUTH
13,831,GARH MOR,GMO,FSD,CENTRAL
14,832,PAINSRA,PAN,FSD,CENTRAL
15,833,QILA DEDAR SING,QDS,GUJ,NORTH
16,834,SAKRAND,SAK,HDD,SOUTH
17,835,SIBI,SBI,UET,SOUTH
18,836,SHAHKOT,SKT,FSD,CENTRAL
19,837,TANDO ADAM,TDM,HDD,SOUTH
20,838,SAKARDU,RDU,RWP,NORTH
21,839,DERAMURAD JAMAL,DMJ,SKZ,SOUTH
22,840,KASHMORE,KHM,SKZ,SOUTH
23,841,LAKI MARWAT,LKI,FSD,CENTRAL
24,842,MEHRAB PUR,MRP,SKZ,SOUTH
25,843,NANKANA SAHIB,NKS,LHE,CENTRAL
26,844,CHAKWAL,CKL,RWP,NORTH
27,845,BUREWALA,BRW,MUX,CENTRAL
28,846,BANNU,BNP,PEW,NORTH
29,847,BAHAWALPUR,BHV,MUX,CENTRAL
30,848,ATTOCK,ATT,RWP,NORTH
31,849,MULTAN,MUX,MUX,CENTRAL
32,850,QADIRPUR RAWAN,QPR,MUX,CENTRAL
33,851,NOWSHERA VIRKA,NWV,GUJ,NORTH
34,852,DAKOTA,DKT,MUX,CENTRAL
35,853,DINGA,DNG,GUJ,NORTH
36,854,TIBBA SULTAN,TSP,MUX,CENTRAL
37,855,QABOOLA,QBL,MUX,CENTRAL
38,856,GHAZI ABAD,GAD,MUX,CENTRAL
39,857,KASOWAL,KSW,MUX,CENTRAL
40,858,IQBAL NAGAR,ING,MUX,CENTRAL
41,859,NOORPUR,NOP,MUX,CENTRAL
42,860,KOTLA,KTL,GUJ,NORTH
43,861,MALAK WAL,MLK,GUJ,NORTH
44,862,CHAK SAWARI,CKR,GUJ,NORTH
45,863,FAZIL PUR,FZP,MUX,CENTRAL
46,864,GHAKAR,GHK,GUJ,NORTH
47,865,PHALIA,PHL,GUJ,NORTH
48,866,JALALPUR JATTAN,JLJ,GUJ,NORTH
49,867,ZAFARWAL,ZFW,GUJ,NORTH
50,868,VARI DIR,VDR,PEW,NORTH
51,869,UPPER DIR,UPD,PEW,NORTH
52,870,BAJWAR,BJR,PEW,NORTH
53,871,TAKHAT BAI,TBI,PEW,NORTH
54,872,BUNAIR,BUR,PEW,NORTH
55,873,JHANGIRA,JRI,PEW,NORTH
56,874,MIRPUR SAKRO,MSO,HDD,SOUTH
57,875,GHARO,GRO,KHI,SOUTH
58,876,WINDER,WDR,KHI,SOUTH
59,877,BELA,BLA,KHI,SOUTH
60,878,UTHAL,UTL,KHI,SOUTH
61,879,MINCHANABAD,MHD,MUX,CENTRAL
62,880,HUJRA SHAMUQEEM,HSM,MUX,CENTRAL
63,881,OKARA CANTT,OKC,MUX,CENTRAL
64,882,AHMED PUR SIAL,APS,FSD,CENTRAL
65,883,BHAWANA,BWA,FSD,CENTRAL
66,884,BHERA,BRA,FSD,CENTRAL
67,885,SILANWALI,SNL,FSD,CENTRAL
68,886,CHAK JHUMRA,CJS,FSD,CENTRAL
69,887,KOT MOMIN,KMN,FSD,CENTRAL
70,888,SUNDAR ADDA,SUA,LHE,CENTRAL
71,889,ELLAH ABAD,ELA,LHE,CENTRAL
72,890,FEROZ WATOWAN,FWA,LHE,CENTRAL
73,891,FARROQABAD,FAD,LHE,CENTRAL
74,892,KANA NAU,KNU,LHE,CENTRAL
75,893,SHARAQPUR,SQR,LHE,CENTRAL
76,894,DAUD KHEL,DKL,FSD,CENTRAL
77,895,KUNRI,KNI,HDD,SOUTH
78,896,KHIPRO,KPR,HDD,SOUTH
79,897,MITYARI,MRI,HDD,SOUTH
80,898,DIGRI,DIG,HDD,SOUTH
81,899,BHIRIA ROAD,BRD,HDD,SOUTH
82,900,LALIAN,LLI,FSD,CENTRAL
83,901,RENALA KHURD,RLK,MUX,CENTRAL
84,902,SARWAR SHAHEED,CSS,MUX,CENTRAL
85,903,FATEHPUR,FPR,MUX,CENTRAL
86,904,DAHRANWALA,DWA,MUX,CENTRAL
87,905,JATOI,JTI,MUX,CENTRAL
88,906,KOT RADHA KISHA,KDC,LHE,CENTRAL
89,907,SUKKUR,SKZ,SKZ,SOUTH
90,908,RAWALPINDI,RWP,RWP,NORTH
91,909,KARACHI,KHI,KHI,SOUTH
92,910,SANGLA HILL,SHL,FSD,CENTRAL
